iter	Logloss
0	0.681552732
1	0.6703852548
2	0.6604614234
3	0.6500410299
4	0.6408530638
5	0.6321375121
6	0.6243375424
7	0.6168145886
8	0.6099385426
9	0.6036528027
10	0.5979985833
11	0.5922851387
12	0.5871939636
13	0.5823356841
14	0.5780920948
15	0.5735923418
16	0.5696677385
17	0.5659715294
18	0.5621865675
19	0.5586755169
20	0.5554245344
21	0.5523014424
22	0.54953476
23	0.5467015542
24	0.544006173
25	0.5417665393
26	0.5394514105
27	0.5373087936
28	0.5351303265
29	0.5331344941
30	0.5312941006
31	0.5296391898
32	0.5278534372
33	0.526373429
34	0.525010622
35	0.5237119906
36	0.5223302984
37	0.5210732748
38	0.5197756941
39	0.5187127265
40	0.5175146706
41	0.5164598082
42	0.5154898424
43	0.5144617364
44	0.5135778699
45	0.512619187
46	0.5116997667
47	0.5107713739
48	0.5100651026
49	0.5092223552
50	0.5087699992
51	0.5081148954
52	0.5074700083
53	0.5068485473
54	0.5061965455
55	0.5055848892
56	0.5051615474
57	0.5046070181
58	0.5040383449
59	0.5034161644
60	0.5028968828
61	0.502412446
62	0.5019317974
63	0.5014606413
64	0.5009224644
65	0.5004505648
66	0.5000159298
67	0.4995786286
68	0.4991641237
69	0.4987413322
70	0.4983210926
71	0.4979277616
72	0.4976076454
73	0.4972965853
74	0.4969463754
75	0.4965857543
76	0.4962690656
77	0.4959048691
78	0.4955615036
79	0.4953236714
80	0.4950303506
81	0.4947615897
82	0.4944771129
83	0.4941903453
84	0.4939054491
85	0.4936611786
86	0.493381853
87	0.4931365923
88	0.4929251055
89	0.4927210043
90	0.4924977019
91	0.4922769596
92	0.4920319999
93	0.4917559555
94	0.4915380976
95	0.4912853335
96	0.4910537209
97	0.4908666697
98	0.4906409219
99	0.490442104
100	0.4902490052
101	0.4900706387
102	0.4898744805
103	0.4896674506
104	0.4895245026
105	0.4893527048
106	0.4892100802
107	0.4890154083
108	0.4888554095
109	0.4886762648
110	0.4885382793
111	0.4883593184
112	0.4881670275
113	0.4879917691
114	0.4878410126
115	0.4876904693
116	0.4875577953
117	0.4874203548
118	0.4872612775
119	0.4871273908
120	0.4869653816
121	0.4868418098
122	0.4867030256
123	0.4865404547
124	0.4864042072
125	0.4863035245
126	0.4861794007
127	0.4860124375
128	0.4858585917
129	0.4857137287
130	0.4856159904
131	0.4855374353
132	0.4854010787
133	0.4852879506
134	0.4852094423
135	0.4850924632
136	0.4849882928
137	0.4848819081
138	0.4847473901
139	0.4846439871
140	0.4845529497
141	0.4844193158
142	0.4843192329
143	0.484203335
144	0.4840891997
145	0.4840120697
146	0.4838973148
147	0.4838544016
148	0.4837263865
149	0.4836547904
150	0.4835632307
151	0.4834536317
152	0.4833383648
153	0.4832522956
154	0.4831564354
155	0.4830762749
156	0.4829790434
157	0.4828628711
158	0.482769226
159	0.4826731837
160	0.482587429
161	0.4824534301
162	0.4823328194
163	0.4822355236
164	0.482117631
165	0.4820238979
166	0.4819231978
167	0.481845086
168	0.4817599527
169	0.4816770401
170	0.4815562738
171	0.4814542242
172	0.481347832
173	0.4812744317
174	0.4812520605
175	0.4811536708
176	0.4810526754
177	0.4809705835
178	0.4808861112
179	0.4807965372
180	0.48071445
181	0.480635636
182	0.4805687718
183	0.4804697974
184	0.4804024353
185	0.4803116411
186	0.4802076572
187	0.4801372546
188	0.4800759888
189	0.4799854755
190	0.4799239376
191	0.4798457331
192	0.479742284
193	0.4796765132
194	0.4796238115
195	0.4795655544
196	0.4794922014
197	0.4794325042
198	0.4793415893
199	0.4792552106
200	0.4791188439
201	0.4790375615
202	0.4789689596
203	0.4788973058
204	0.4788149872
205	0.4786945529
206	0.4786179469
207	0.4785498499
208	0.4784857719
209	0.4783808375
210	0.4783053937
211	0.4782404894
212	0.4781757968
213	0.4781054431
214	0.4780140202
215	0.4779225839
216	0.4778430544
217	0.4777652975
218	0.4776898824
219	0.4776247121
220	0.4775412252
221	0.4774508651
222	0.4773917961
223	0.4773198053
224	0.4772706998
225	0.4772146421
226	0.477133644
227	0.4770701255
228	0.4769980444
229	0.4769364408
230	0.4768619965
231	0.4767558596
232	0.4766647913
233	0.4765972921
234	0.4765963505
235	0.4765441319
236	0.4764669275
237	0.4764099471
238	0.4763725295
239	0.476302308
240	0.4762272657
241	0.4761742789
242	0.4760952605
243	0.4760326688
244	0.4759581443
245	0.4759166065
246	0.47587267
247	0.4758025251
248	0.4757303347
249	0.4756336821
250	0.4755716662
251	0.4755208789
252	0.4754361476
253	0.4753822041
254	0.4753280874
255	0.4752632718
256	0.4752133738
257	0.4751658827
258	0.4750922754
259	0.4750220061
260	0.4749348823
261	0.4748805159
262	0.4748219375
263	0.4747641875
264	0.4746807901
265	0.4746141602
266	0.4745564198
267	0.4745008404
268	0.4744498344
269	0.474357846
270	0.4743073194
271	0.4742209822
272	0.4741675276
273	0.4740938221
274	0.4740248319
275	0.4739691321
276	0.4739108095
277	0.4738251587
278	0.4737593942
279	0.4736642034
280	0.4735967104
281	0.4735233887
282	0.473427207
283	0.473363418
284	0.4733063251
285	0.4732444888
286	0.4731966081
287	0.4730951974
288	0.4730201645
289	0.4729416466
290	0.4728718936
291	0.472817797
292	0.4727737372
293	0.472705044
294	0.4726121702
295	0.4725517644
296	0.472500425
297	0.4724244808
298	0.4723723514
299	0.4723005823
