iter	Passed	Remaining
0	24	7293
1	44	6700
2	66	6607
3	85	6290
4	97	5727
5	109	5343
6	122	5138
7	136	4977
8	149	4831
9	162	4720
10	176	4636
11	188	4512
12	201	4441
13	217	4441
14	239	4550
15	260	4632
16	278	4635
17	294	4612
18	308	4555
19	320	4491
20	334	4442
21	347	4390
22	361	4350
23	374	4308
24	386	4254
25	399	4213
26	412	4173
27	425	4137
28	441	4125
29	463	4173
30	483	4198
31	501	4203
32	519	4203
33	536	4199
34	554	4196
35	572	4198
36	590	4194
37	607	4188
38	623	4170
39	640	4163
40	661	4180
41	681	4189
42	700	4187
43	718	4179
44	735	4167
45	752	4155
46	770	4145
47	789	4143
48	806	4129
49	823	4115
50	840	4102
51	861	4110
52	881	4107
53	896	4085
54	909	4053
55	924	4030
56	939	4006
57	955	3986
58	969	3961
59	983	3934
60	999	3914
61	1014	3893
62	1028	3869
63	1045	3853
64	1067	3858
65	1084	3845
66	1098	3819
67	1111	3793
68	1125	3768
69	1139	3742
70	1152	3717
71	1166	3693
72	1190	3702
73	1208	3690
74	1220	3662
75	1234	3637
76	1250	3620
77	1271	3619
78	1288	3605
79	1303	3585
80	1317	3561
81	1329	3534
82	1342	3510
83	1358	3492
84	1373	3473
85	1387	3453
86	1402	3433
87	1417	3414
88	1431	3393
89	1446	3374
90	1467	3369
91	1490	3369
92	1510	3362
93	1528	3349
94	1545	3335
95	1562	3320
96	1579	3305
97	1595	3288
98	1612	3273
99	1629	3259
100	1645	3241
101	1661	3225
102	1681	3216
103	1703	3210
104	1720	3196
105	1737	3180
106	1755	3165
107	1772	3151
108	1787	3132
109	1804	3116
110	1820	3100
111	1837	3084
112	1854	3068
113	1874	3058
114	1901	3058
115	1925	3054
116	1945	3042
117	1963	3028
118	1980	3011
119	1997	2996
120	2014	2979
121	2031	2963
122	2048	2947
123	2064	2929
124	2078	2909
125	2091	2888
126	2108	2872
127	2130	2863
128	2147	2846
129	2167	2834
130	2182	2815
131	2196	2795
132	2209	2774
133	2222	2753
134	2236	2732
135	2249	2712
136	2262	2692
137	2276	2672
138	2289	2651
139	2302	2631
140	2322	2618
141	2345	2609
142	2367	2599
143	2395	2595
144	2423	2590
145	2449	2583
146	2471	2572
147	2489	2556
148	2506	2540
149	2529	2529
150	2557	2523
151	2578	2510
152	2597	2496
153	2615	2479
154	2632	2462
155	2648	2444
156	2666	2428
157	2683	2411
158	2700	2394
159	2717	2377
160	2735	2361
161	2758	2350
162	2779	2336
163	2796	2319
164	2811	2300
165	2824	2280
166	2838	2260
167	2851	2240
168	2864	2220
169	2877	2200
170	2890	2180
171	2908	2164
172	2926	2148
173	2949	2135
174	2975	2125
175	2994	2109
176	3016	2096
177	3040	2083
178	3074	2078
179	3105	2070
180	3130	2058
181	3152	2044
182	3179	2032
183	3207	2022
184	3231	2008
185	3249	1991
186	3266	1974
187	3283	1956
188	3300	1938
189	3320	1922
190	3336	1904
191	3354	1886
192	3377	1872
193	3404	1860
194	3426	1845
195	3442	1826
196	3459	1808
197	3476	1790
198	3492	1772
199	3508	1754
200	3524	1736
201	3543	1719
202	3569	1705
203	3590	1689
204	3619	1677
205	3641	1661
206	3667	1647
207	3696	1635
208	3722	1620
209	3760	1611
210	3782	1595
211	3807	1580
212	3832	1565
213	3849	1546
214	3871	1530
215	3890	1513
216	3916	1498
217	3948	1485
218	4010	1483
219	4038	1468
220	4080	1458
221	4120	1447
222	4155	1434
223	4180	1418
224	4200	1400
225	4220	1381
226	4242	1364
227	4265	1346
228	4284	1328
229	4302	1309
230	4319	1290
231	4337	1271
232	4359	1253
233	4387	1237
234	4418	1222
235	4448	1206
236	4480	1191
237	4509	1174
238	4530	1156
239	4548	1137
240	4565	1117
241	4581	1098
242	4598	1078
243	4632	1063
244	4658	1045
245	4700	1031
246	4735	1016
247	4767	999
248	4790	981
249	4809	961
250	4831	943
251	4856	924
252	4880	906
253	4900	887
254	4917	867
255	4935	848
256	4952	828
257	4968	808
258	4984	789
259	5000	769
260	5017	749
261	5033	730
262	5050	710
263	5072	691
264	5095	672
265	5117	654
266	5140	635
267	5171	617
268	5190	598
269	5219	579
270	5252	562
271	5286	544
272	5309	525
273	5341	506
274	5362	487
275	5387	468
276	5417	449
277	5437	430
278	5454	410
279	5471	390
280	5490	371
281	5512	351
282	5535	332
283	5556	313
284	5585	293
285	5615	274
286	5642	255
287	5672	236
288	5707	217
289	5732	197
290	5765	178
291	5790	158
292	5810	138
293	5827	118
294	5843	99
295	5860	79
296	5875	59
297	5892	39
298	5911	19
299	5934	0
