instrumentalness,acousticness,valence,loudness,danceability,track,artist,target,mode_0,mode_1
0.0,0.49,0.845,-7.727,0.41700000000000004,Jealous Kind Of Fella,Garland Green,1,0,1
0.107,0.018000000000000002,0.797,-12.475,0.498,Initials B.B.,Serge Gainsbourg,0,0,1
4.42e-06,0.846,0.9079999999999999,-13.392000000000001,0.657,Melody Twist,Lord Melody,0,0,1
0.0246,0.706,0.9670000000000001,-12.058,0.59,Mi Bomba Sonó,Celia Cruz,0,1,0
0.000872,0.857,0.9059999999999999,-3.515,0.515,Uravu Solla,P. Susheela,0,1,0
0.919,0.7140000000000001,0.778,-10.573,0.6970000000000001,Beat n. 3,Ennio Morricone,0,0,1
0.228,0.36,0.591,-18.883,0.662,Samba De Uma Nota So (One Note Samba),Antônio Carlos Jobim,0,0,1
0.0,0.795,0.887,-9.086,0.72,Happy Days,Marv Johnson,1,1,0
0.239,0.5820000000000001,0.386,-15.079,0.545,Carolina - Remastered 2006,Caetano Veloso,0,1,0
1.67e-06,0.0385,0.685,-7.6370000000000005,0.511,I Can Hear Music,The Beach Boys,1,0,1
0.519,0.826,0.122,-17.096,0.491,"The Aftermath (From ""Stagecoach"")",Jerry Goldsmith,0,0,1
0.0012,0.7859999999999999,0.35,-12.411,0.52,Ride Away,Roy Orbison,1,0,1
0.0,0.451,0.961,-8.606,0.7170000000000001,Caboclo Nordestino,Luiz Gonzaga,0,1,0
0.0,0.5429999999999999,0.84,-10.408,0.746,P.T. 109,Jimmy Dean,1,0,1
0.47100000000000003,0.8320000000000001,0.8320000000000001,-14.978,0.598,Bye Bye Baby,Mary Wells,1,1,0
0.000893,0.5760000000000001,0.599,-12.299000000000001,0.521,A Festa dos Seus 15 Anos,Leño,0,0,1
0.000206,0.924,0.313,-6.6770000000000005,0.35600000000000004,My Empty Arms,Jackie Wilson,1,0,1
4.4200000000000004e-05,0.040999999999999995,0.519,-8.209,0.493,Alfômega - Remastered 2006,Caetano Veloso,0,0,1
0.115,0.9640000000000001,0.0387,-16.997,0.147,"Parsifal: ""Wehevolles Erbe, dem ich verfallen""",Staatskapelle Berlin,0,0,1
0.0,0.48100000000000004,0.9390000000000001,-9.562000000000001,0.502,Let The Good Times Roll,Shirley & Lee,1,0,1
0.0,0.78,0.58,-15.402000000000001,0.48,I'm Here To Get My Baby Out Of Jail,The Everly Brothers,1,0,1
0.0,0.0311,0.638,-11.419,0.604,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,1,0,1
0.69,0.982,0.0395,-22.425,0.213,"Dominica Prima Adventus. Alleluia, Ostende: VIII Mode",Traditional,0,1,0
1.03e-06,0.5489999999999999,0.293,-19.857,0.42700000000000005,Montague Terrace (In Blue),Scott Walker,0,1,0
0.00037799999999999997,0.9790000000000001,0.0371,-24.430999999999997,0.26,"Madama Butterfly, Act II: Or vienmi ad adornar (Suzuki, Butterfly)",Giacomo Puccini,0,1,0
1.0300000000000001e-05,0.77,0.9490000000000001,-9.77,0.81,Mother-In-Law,Ernie K-Doe,1,1,0
0.0,0.0789,0.868,-9.263,0.498,Keep On Trying,Bobby Vee,1,0,1
0.8440000000000001,0.848,0.5660000000000001,-12.645,0.8440000000000001,Can't Buy Me Love,The Beatles,1,0,1
0.00157,0.616,0.8109999999999999,-12.177999999999999,0.46299999999999997,Lonely Little Girl,Frank Zappa,0,0,1
0.875,0.885,0.64,-12.732000000000001,0.431,Yaaraithaan Nambuvatho,P. Susheela,0,0,1
0.0,0.657,0.7829999999999999,-7.316,0.515,Just Be Sincere,Jackie Wilson,1,1,0
0.0,0.414,0.888,-12.345999999999998,0.528,Cien Kilos de Barro (100 Pounds of Clay),Enrique Guzman,0,0,1
4.31e-06,0.767,0.28300000000000003,-12.833,0.35700000000000004,Come Rain Or Come Shine,Ray Charles,1,0,1
0.7709999999999999,0.982,0.0797,-20.653000000000002,0.28300000000000003,Caprice viennois,Fritz Kreisler,0,0,1
0.000215,0.0853,0.7929999999999999,-4.09,0.56,Uma Especial Oração (My Special Prayer),Jerry Adriani,0,0,1
0.000454,0.784,0.106,-16.735,0.337,If You Never Come To Me (Inútil Paisagen),Antônio Carlos Jobim,0,0,1
0.0,0.579,0.535,-8.442,0.565,Ebrio,Gerardo Reyes,0,1,0
0.0,0.8079999999999999,0.833,-8.328,0.743,I Idolize You,Ike & Tina Turner,1,1,0
0.0,0.16399999999999998,0.44,-4.487,0.555,Españolito,Joan Manuel Serrat,0,0,1
0.0,0.8640000000000001,0.8029999999999999,-8.732000000000001,0.519,See You In September,The Happenings,1,0,1
1.42e-05,0.7909999999999999,0.847,-10.867,0.5660000000000001,Where Did Our Love Go,The Supremes,1,0,1
6.12e-05,0.7390000000000001,0.385,-9.61,0.257,Inolvidable,Tito Rodriguez,0,0,1
0.0012900000000000001,0.126,0.701,-10.647,0.611,Hip City - Pt. 2,Jr. Walker & The All Stars,1,1,0
4.13e-06,0.32299999999999995,0.963,-10.106,0.653,How Sweet It Is To Be Loved By You,Marvin Gaye,1,0,1
4.8899999999999996e-05,0.862,0.222,-8.781,0.203,For Once In My Life,Tony Bennett,1,0,1
0.0001,0.934,0.495,-22.805999999999997,0.721,When the World Ends / Epitaph / Farewell and Thanksgiving,Mark Van Doren,0,0,1
0.0,0.45799999999999996,0.782,-12.030999999999999,0.597,Si Tuviera Tu Amor,La Sonora Matancera,0,1,0
0.78,0.22399999999999998,0.618,-13.831,0.5589999999999999,Russell And Eliot,Yusef Lateef,0,1,0
0.0050100000000000006,0.488,0.965,-13.897,0.475,Thamizh Engal Uyiranathu,P. Susheela,0,0,1
0.0,0.655,0.825,-9.908,0.763,For What It's Worth,The Staple Singers,1,0,1
0.956,0.619,0.718,-7.37,0.46799999999999997,"Take The ""A"" Train",Maynard Ferguson,0,0,1
0.0,0.37200000000000005,0.7829999999999999,-12.165,0.583,La Suegra (Mother in Law),Los Teen Tops,0,1,0
0.0,0.406,0.971,-8.43,0.611,Boi Bumbá,Luiz Gonzaga,0,0,1
0.0,0.493,0.7040000000000001,-12.845,0.762,Werewolf Watusi,Don Hinson & The Rigamorticians,0,1,0
0.0,0.843,0.732,-7.329,0.603,Esta Noite Me Embriago (Esta Noche Me Emborracho),Nelson Gonçalves,0,0,1
0.0124,0.805,0.221,-14.526,0.275,Is It Really Over?,Jim Reeves,1,0,1
1.05e-06,0.0119,0.467,-9.635,0.619,Baby You're A Rich Man,The Beatles,1,0,1
0.812,0.934,0.15,-32.324,0.608,Largo,Paulinho Nogueira,0,0,1
0.0,0.703,0.5589999999999999,-8.732000000000001,0.49200000000000005,Il faut savoir,Charles Aznavour,0,0,1
0.0,0.857,0.862,-8.755,0.728,Ya Parte el Galgo Terrible,Victor Jara,0,1,0
0.0,0.607,0.9059999999999999,-4.882,0.498,"Happy Birthday, Sweet Sixteen",Neil Sedaka,1,0,1
0.95,0.9590000000000001,0.0371,-18.238,0.24,Gentleness,David Lindup,0,1,0
8.26e-05,0.943,0.275,-11.502,0.23800000000000002,The First Noel,Traditional,0,0,1
0.0,0.8909999999999999,0.9490000000000001,-6.148,0.402,The Lone Teen Ranger,Jerry Landis,1,0,1
7.59e-06,0.8540000000000001,0.8220000000000001,-14.679,0.772,Running Bear,Johnny Preston,1,1,0
0.0,0.621,0.6659999999999999,-7.662999999999999,0.306,"Sad, Sad Girl",Barbara Mason,1,0,1
0.865,0.7340000000000001,0.9670000000000001,-6.064,0.8490000000000001,Zelda's Theme,Pérez Prado,0,0,1
1.22e-05,0.672,0.805,-11.876,0.5479999999999999,Amor,Ben E. King,1,0,1
1.17e-06,0.0941,0.821,-0.507,0.6679999999999999,Some Things You Never Get Used To,Diana Ross & The Supremes,1,1,0
0.0205,0.302,0.96,-6.881,0.66,There'll Come A Time,Betty Everett,1,0,1
1.4999999999999999e-05,0.495,0.932,-4.9639999999999995,0.573,The Rains Came,Sir Douglas Quintet,1,0,1
0.508,0.6409999999999999,0.488,-9.541,0.784,The Loop,Johnny Lytle,1,1,0
0.0,0.0368,0.617,-11.18,0.625,Jingle Jangle,The Archies,1,0,1
0.000227,0.45299999999999996,0.266,-12.457,0.515,Blue Autumn,Bobby Goldsboro,1,0,1
0.0,0.445,0.9079999999999999,-10.827,0.708,Tell Him,The Exciters,1,0,1
0.43200000000000005,0.36700000000000005,0.483,-14.235,0.485,Out Of Limits,The Marketts,1,0,1
0.0,0.252,0.9009999999999999,-12.155999999999999,0.638,The Letter,The Box Tops,1,1,0
0.0008529999999999999,0.995,0.312,-17.171,0.46799999999999997,Canción Mixteca (Qué Lejos Estoy),Guty Cárdenas,0,0,1
0.0,0.586,0.6659999999999999,-7.484,0.622,Just A Little Bit Better,Herman's Hermits,1,0,1
0.0,0.636,0.46299999999999997,-13.432,0.614,Black Verse - Part 2,Langston Hughes,0,0,1
0.0,0.685,0.764,-8.578,0.6990000000000001,People Are Strange,The Doors,1,1,0
0.000286,0.146,0.7070000000000001,-12.404000000000002,0.604,Let It Out (Let It All Hang Out),The Hombres,1,0,1
0.0247,0.217,0.904,-11.808,0.78,Mexican Highway,Syd Dale,0,1,0
6.48e-06,0.435,0.9309999999999999,-9.78,0.711,Comment te dire adieu - Remasterisé en 2016,Françoise Hardy,0,1,0
0.00187,0.21,0.294,-8.825,0.304,Medley: Mode D-Trio and Group Dancers/Mode E- Single solos and Group Dance/ModeF-Group and Solo Dance,Charles Mingus,0,0,1
0.0,0.292,0.9329999999999999,-13.61,0.5670000000000001,Sebastiana,Gilberto Gil,0,0,1
0.0411,0.22399999999999998,0.93,-12.959000000000001,0.775,Bold Soul Sister,Ike & Tina Turner,1,0,1
0.0506,0.807,0.11699999999999999,-21.377,0.145,Départ de Renaud,André Hossein,0,0,1
0.8490000000000001,0.247,0.929,-13.392999999999999,0.87,Seventh Heaven,The Hippy Boys,0,0,1
0.0,0.888,0.44299999999999995,-19.291,0.5589999999999999,"The Young Person's Guide to the Orchestra, Op. 34 (Variations and Fugue on a Theme of Purcell): Theme A. Allegro maestoso e largamente",Benjamin Britten,0,1,0
2.51e-06,0.6970000000000001,0.52,-9.138,0.444,Leader Of The Laundromat,The Detergents,1,1,0
0.0,0.6459999999999999,0.836,-5.37,0.371,Ain't That Just Like Me,The Searchers,1,0,1
5.44e-06,0.114,0.8009999999999999,-5.136,0.677,Searching For My Love,Bobby Moore & The Rhythm Aces,1,0,1
5.88e-05,0.6890000000000001,0.7340000000000001,-4.373,0.57,Till You Return,Scott Walker,0,0,1
0.00277,0.9420000000000001,0.039,-17.613,0.145,"Madama Butterfly, Act I: Quanto cielo!....Ancora un passo or via (Coro/Butterfly/Sharpless) - 1986 Remastered Version",Giacomo Puccini,0,0,1
0.217,0.799,0.17600000000000002,-15.491,0.349,"Past, Present And Future",The Shangri-Las,1,0,1
0.0005690000000000001,0.177,0.344,-16.17,0.326,Atlantis,Donovan,1,0,1
0.907,0.8640000000000001,0.0553,-5.611000000000001,0.21100000000000002,The end of a spy - Fine di una spia,Ennio Morricone,0,0,1
0.0632,0.0859,0.657,-12.06,0.6829999999999999,While I Was Walking,Tommy McCook,0,0,1
0.0,0.461,0.41200000000000003,-8.087,0.45799999999999996,My Song,Aretha Franklin,1,0,1
0.68,0.12300000000000001,0.386,-12.62,0.47100000000000003,Julia,Ramsey Lewis,1,0,1
0.0,0.988,0.285,-16.480999999999998,0.342,Song of the Crib,Traditional,0,0,1
6.48e-05,0.163,0.0376,-12.075,0.205,We Will Fall (John Cale Mix) - 2019 Remaster,The Stooges,0,0,1
0.902,0.935,0.16699999999999998,-12.671,0.475,Femmina - Seq. 3,Carlo Savina,0,0,1
0.00484,0.81,0.743,-15.218,0.563,Country Blues,Doc Watson,0,0,1
0.217,0.981,0.0621,-20.102999999999998,0.18,La Virgen Lava Pañales,Traditional,0,0,1
0.302,0.6609999999999999,0.0379,-25.433000000000003,0.253,The Cave,Jerry Goldsmith,0,1,0
0.45299999999999996,0.8240000000000001,0.0361,-12.269,0.122,Marcia - Marcetta,Ennio Morricone,0,1,0
0.0,0.821,0.377,-9.367,0.597,Mississippi River Blues,Bob Wills,0,0,1
0.889,0.384,0.72,-22.881,0.519,Brazil (Aka Aquarela do Brasil),Antônio Carlos Jobim,0,1,0
1.82e-05,0.991,0.0826,-22.482,0.218,"Le nozze di Figaro, K.492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,0,0,1
0.0966,0.341,0.39299999999999996,-16.701,0.34299999999999997,Canto Karabali,Ernesto Lecuona,0,1,0
0.0,0.752,0.862,-5.195,0.5429999999999999,I Do,The Marvelows,1,0,1
7.25e-05,0.467,0.51,-15.452,0.374,Just Out Of Reach (Of My Two Empty Arms),Percy Sledge,1,0,1
0.0,0.48200000000000004,0.951,-5.48,0.5870000000000001,Guaguancó En Tropicana,Tito Puente,0,0,1
0.053,0.856,0.431,-13.253,0.585,You Mean The World To Me,David Houston,1,0,1
